First Name          |Last Name           |  Age|Score
Stephen              Urata                   32    97
Stephen              Wong                    25    67
Steve                Bissinger               75    68
Steve                Bloom                   20    87
Steve                Karski                  50    81
Steve                LaVietes                40    67
Steve                Mason                   65    72
Steve                May                     64    75
Steven               Scott                   27    85
Steven               Clay Hunter             46    74
Steven               Holtman                 64    78
Steven               Ricks                   71    75
Stewart              Pomeroy                 34    76
Sungyeon             Joh                     47    76
Sunmee               Joh                     72    79
Sunya                Boonyatera              35    97
Sureena              Mann                    43    90
Susan                Brunig                  51    76
Susan                Fisher Fong             52    76
Susan                Salituro                27    85
Susanne              Rublein                 33    77
Suzanne              Waters                  34    88
Sydney               Crawford                53    75
Sydney               Thomas                  28    80
Sylvia               Gray Wong               66    83
Tadahiro             Uesugi                  58    79
Tamara               Hatwan                  28    68
Tasha                Sounart                 65    73
Tatsuro              Kiuchi                  32    81
Teag                 Reaves                  18    88
Ted                  Jones                   60    85
Ted                  Atkatz                  30    82
Teresa               Falcone                 60    77
Teresa               Nord Storhoff           40    75
Teresa               Stanislav               71    71
Terri                Douglas                 19    88
Terry                Lee Moseley             43    88
Tess                 Cameron                 32    88
Thidaratana          Annee Jonjai            37    92
Thomas               Gonzales                28    78
Thomas               Hahn                    36    95
Thomas               Hardisty                55    75
Thomas               Harte                   48    68
Thomas               Porter                  48    71
Tiana                Craig                   42    78
Tiana                Ellis                   22    90
Tiffany              Lopez                   71    80
Tiffany              Reno Fung               62    73
Tiffany              Ribera-McKay            24    90
Tim                  Best                    18    86
Tim                  Speltz                  41    88
Timothy              Loo                     59    68
Timothy              Palmer                  33    86
Timothy              Zohr                    48    74
Tlaloc               Alvarez                 22    87
Toan-Vinh            Le                      34    78
Tom                  Gately                  37    85
Tom                  Nettleship              36    98
Tony                 Rosenast                25    83
Topher               Ngo                     64    68
Tracey               Walker                  36    82
Trevor               Jimenez                 31    82
Trey                 Henry                   55    73
Tricia               Andres                  23    85
Trina                M. Roy                  65    88
Trinity              Jo-Li Bliss             33    83
Tristan              Allerick Chen           20    84
Tsang                Pui-Yee                 42    86
Tyler                Fazakerley              44    75
Tyler                Schroeder               71    73
Uma                  Havaligi                18    86
Valerie              Hathaway                32    90
Vanessa              Russell                 22    90
Venkateswaran        Krishna                 40    71
Ver'nica             Toledo                  49    84
Victoria             Manley Thompson         23    93
Vince                Caro                    32    76
Vincent              Sulit                   59    73
Violet               Armstrong               18    86
Violet               Grace Schaffer          20    82
Vivienne             Rutherford              71    70
Vladimir             Kooperman               31    82
Wade                 Culbreath               57    69
Wai                  Ching Ho                60    78
Walter               Allen                   43    81
Warren               Latimer                 36    90
Wayne                Bergeron                58    80
Wen-Chin             Hsu                     37    83
Wendell              Lee                     55    82
Wendy                Chen                    35    92
Wendy                Dale Tanzillo           47    67
Wendy                Heffner                 68    72
Wesley               Fuh                     27    73
Wil                  Phan                    71    71
William              Harris                  19    68
William              Owens                   22    92
William              Starling                34    91
Witawat              Bik Rungjiratananon     36    73
Wynton               Grant                   70    83
Xavier               Riffault                56    77
Ye                   Won Cho                 44    80
Yenny                Reyes                   66    75
Yon                  Hui Lee                 58    72
Yu                   Nira Liu                18    70
Yuko                 Okumura                 35    72
Yun                  Lien                    71    68
Yung-Han             Chang                   26    90
Zac                  Rae                     47    80
Zach                 Dellinger               75    69
Zaruhi               Galstyan                67    83
Zena                 Weber                   44    73
Aarif                Sheikh                  72    83
Abbas                Tyrewala                46    76
Abbie                Larkin                  32    71
Ada                  Hegerberg               39    86
Aditya               Chopra                  63    79
Agnese               Bonfantini              22    76
Agness               Musase                  35    87
'ine                 O'Gorman                74    82
Aitana               Bonmat'                 49    80
Akshaye              Widhani                 64    78
Alana                Cook                    35    83
Alanna               Kennedy                 65    75
Alba                 Redondo                 24    76
Aldana               Cometi                  50    71
Aldrith              Quintero                29    78
Alessia              Russo                   45    78
Alex                 Chidiac                 65    70
Alex                 Greenwood               47    71
Alex                 Morgan                  44    71
Alexandra            Popp                    24    81
Alexia               Putellas                67    79
Ali                  Riley                   21    86
Alisha               Lehmann                 28    83
Allyson              Swaby                   39    81
Alyssa               Thompson                20    74
Amalie               Eikeland                41    88
Amalie               Vangsgaard              59    67
Amanda               Ilestedt                44    84
Amber                Barrett                 22    74
Amel                 Majri                   52    74
Amira                Arfaoui                 21    91
Ana                  Borges                  31    89
Ana                  Capeta                  38    69
Ana                  Maria Crnogor?evi?      25    81
Ana                  Rute                    25    85
Ana                  Sei'a                   33    77
Ana                  Vit'ria                 56    76
Andile               Dlamini                 42    79
Andreia              Jacinto                 38    82
Andreia              Norton                  72    74
Andressa             Alves                   21    78
Angela               Baron                   55    80
Angela               Beard                   61    73
Anicka               Casta'eda               36    73
Aniek                Nouwen                  70    73
Anja                 Sonstevold              41    87
Anna                 Josendal                58    72
Anna                 Leat                    30    98
Annalie              Longo                   35    91
Annamaria            Serturini               32    85
Aoba                 Fujino                  51    70
Arianna              Caruso                  42    78
Ary                  Borges                  62    72
Ashley               Lawrence                47    77
Ashley               Sanchez                 52    81
Asisat               Oshoala                 35    87
Assia                Zouhair                 42    69
Athenea              del Castillo            68    76
Aubrey               Kingsbury               73    75
Aurora               Mikalsen                51    75
Avell                Chitundu                69    82
Bae                  Ye-bin                  33    84
Bambanani            Mbane                   63    79
Barbara              Bonansea                52    82
Batcheba             Louis                   54    80
Benedetta            Glionna                 29    73
Benedetta            Orsi                    63    86
Bethany              England                 46    81
Betina               Petit-Frere             69    80
Betsy                Hassett                 70    84
Bia                  Zaneratto               62    75
Bosco                Martis                  23    78
C.J.                 Bott                    68    81
Caesar               Gonsalves               36    75
Camila               G'mez Ares              33    88
Carleigh             Frilles                 70    71
Carmen               Montenegro              69    76
Carolina             Arias                   42    74
Caroline             Seger                   59    82
Casey                Murphy                  73    75
Casey                Phair                   36    80
Cata                 Coll                    43    81
Catalina             Estrada                 21    77
Catalina             P'rez                   34    76
Catalina             Usme                    51    67
Catarina             Amado                   49    70
Catherine            Musonda                 25    87
Cecilia              Salvai                  34    94
Cecilie              Fiskerstrand            55    71
Chandler             McDaniel                23    92
Chantelle            Swaby                   46    83
Chen                 Gao                     44    80
Chengshu             Wu                      74    88
Cheyna               Matthews                28    79
Chiamaka             Nnadozie                73    79
Chiara               Beccari                 34    74
Chika                Hirao                   19    89
Chloe                Kelly                   65    74
Chloe                Mustaki                 26    80
Cho                  So-hyun                 33    84
Choo                 Hyo-joo                 37    91
Christine            Sinclair                27    71
Chun                 Ga-ram                  60    67
Chuong               Thi                     61    74
Ciara                Grant                   30    79
Clara                Mat'o                   24    83
Clare                Hunt                    58    81
Clare                Hunt                    58    73
Clare                Polkinghorne            61    81
Claudia              Bunge                   47    71
Claudia              Zornoza                 66    84
Cloe                 Lacasse                 41    76
Constance            Picaud                  22    67
Cortnee              Vine                    19    93
Courtney             Brosnan                 24    70
Courtney             Nevin                   60    74
Craig                Macrae                  42    74
Cristiana            Girelli                 67    70
Cristin              Granados                18    79
Crystal              Dunn                    61    82
Daiana               Falf'n                  33    92
Daisy                Cleverley               64    81
Dalila               Ipp'lito                48    71
Damaris              Egurrola                52    70
Daniela              Arias                   59    73
Daniela              Caracas                 74    83
Daniela              Solera                  32    88
Danielle             Etienne                 40    82
Danielle             van de Donck            21    86
Dao                  Thi Kieu Oanh           40    80
Daphne               van Domselaar           68    67
Dayana               Pierre-Louis            45    81
Deanne               Rose                    65    75
Desire               Oparanozie              20    92
Deysire              Salazar                 44    74
Diana                Gomes                   71    74
Diana                Ospina                  59    78
Diana                Silva                   66    75
Diane                Caldwell                73    68
Dolores              Silva                   46    79
Drew                 Spence                  35    74
Duda                 Sampaio                 28    73
Duong                Thi Van                 30    91
Elena                Linari                  37    79
Eliana               St'bile                 36    90
Elin                 Rubensson               45    75
'lisa                De Almeida              64    83
Ella                 Toone                   31    73
Ellie                Roebuck                 28    74
Elodie               Nakkach                 74    73
Emilie               Haavi                   56    77
Emilie               Valenciano              18    90
Emily                Fox                     59    73
Emily                Sonnett                 51    76
Emma                 Snerle                  74    78
Enith                Salon                   65    80
'rica                Lonigro                 22    95
Erika                Hernandez               40    83
Erin                 Nayler                  45    73
Esme                 Morgan                  39    87
Esmee                Brugts                  32    70
Estefan'a            Banini                  21    78
Estelle              Cascarino               62    70
Esther               Banda                   18    74
Esther               Okoronkwo               18    90
Eugenie              Le Sommer               44    69
Eva                  Navarro                 64    80
Evarine              Katongo                 67    70
Evelyne              Viens                   32    89
Farissa              Cordoba                 36    76
Fatima               Gharbi                  41    75
Fatima               Tagnaout                35    80
Felicitas            Rauch                   31    88
Fikile               Magama                  49    69
Filippa              Angeldahl               28    73
Florencia            Bonsegundo              68    67
Florsie              Darlina Joseph          47    68
Francesca            Durante                 57    79
Francisca            Ordega                  22    80
Frederikke           Th'gersen               51    86
Frida                Maanum                  62    84
Fridolina            Rolfo                   45    85
Fuka                 Nagano                  33    76
Gabi                 Nunes                   55    70
Gabi                 Rennie                  19    89
Gabriela             Guill'n                 36    87
Gabriela             Salgado                 18    87
Gabriela             Urue'a                  35    81
Ganesh               Gangadharan             61    68
G'nesis              P'rez                   48    76
Georgia              Stanway                 36    76
Ghizlane             Chebbak                 41    75
Gift                 Monday                  39    89
Grace                Geyoro                  45    87
Grace                Jale                    73    81
Guro                 Bergsvand               24    88
Guro                 Pettersen               31    77
Guro                 Reiten                  60    80
Haiyan               Wu                      65    67
Hali                 Long                    20    73
Halimatu             Ayinde                  23    74
Hana                 Takahashi               20    87
Hanane               Ait El Haj              29    93
Hanna                Bennison                49    74
Hannah               Hampton                 52    77
Hannah               Wilkinson               40    80
Havana               Solaun                  18    90
Hayley               Raso                    32    85
Heather              Payne                   27    80
Hellen               Chanda                  70    82
Hikaru               Naomoto                 48    86
Hilary               Jaen                    46    69
Hildah               Magaia                  33    90
Hina                 Sugita                  22    97
Hinata               Miyazawa                46    67
Hoang                Thi Loan                47    68
Hong                 Hye-ji                  21    85
Hongyan              Pan                     66    71
Honoka               Hayashi                 75    74
Huan                 Xu                      43    71
Huynh                Nhu                     68    72
Ibtissam             Jraidi                  61    79
Ifeoma               Onumonu                 55    68
Indiah-Paige         Riley                   44    84
Ines                 Arouaissa               39    93
In's                 Pereira                 44    75
Ingrid               Syrstad                 49    82
Ireen                Lungu                   69    80
Irene                Guerrero                74    71
Isibeal              Atkinson                36    92
Ivana                Andr's                  74    67
Ivonne               Chac'n                  41    88
Jacintha             Weimar                  56    73
Jaclyn               Sawicki                 58    80
Jacqui               Hand                    48    68
Jang                 Sel-ji                  38    73
Janni                Thomsen                 69    83
Jennifer             Echegini                74    77
Jennifer             Falk                    22    88
Jennyfer             Limage                  61    72
Jess                 Carter                  40    75
J'ssica              Silva                   64    77
Jessie               Fleming                 75    69
Jessika              Cowart                  22    94
Ji                   So-yun                  57    69
Jiahui               Lou(Wuhan               68    84
Jiali                Tang                    59    68
Joana                March'o                 21    88
Jordyn               Huitema                 41    73
Jorelyn              Carabali                44    79
Josefine             Hasbo                   72    70
Judith               Soko                    71    79
Julia                Grosso                  43    71
Julia                Stierli                 46    78
Julie                Ertz                    71    74
Julieta              Cruz                    46    82
Jun                  Endo                    25    95
Kadeisha             Buchanan                19    84
Kadidiatou           Diani                   56    79
Kailen               Sheridan                45    68
Kaiya                Jota                    43    77
Kalyssa              Van Zanten              62    79
Kameron              Simmonds                72    84
Karina               S'vik                   37    88
Karla                Riley                   29    76
Katherine            Castillo                64    71
Kathrin              Hendrich                32    73
Kathrine             K'hl                    54    67
Kathrine             Larsen                  30    94
Katie                Bowen                   69    74
Katie                McCabe                  19    92
Katie                Zelem                   74    75
Katja                Snoejis                 52    73
Katrina              Gorry                   53    70
Katrina              Guillou                 52    73
Katrine              Veje                    70    68
Kayla                McKenna                 53    74
Kebotseng            Moletsane               70    73
Kenza                Chapelle                36    94
Kenza                Dali                    68    69
Kerly                Theus                   69    82
Khadija              ER-RMICHI               21    83
Khadija              Shaw                    31    96
Kholosa              Biyana                  20    93
Khong                Thi                     25    91
Kiara                Thi Hang                69    76
Kika                 Nazareth                33    80
Kiko                 Seike                   73    82
Kim                  Hye-ri                  56    74
Kim                  Yun-ji                  71    73
Klara                Buehl                   54    79
Konya                Plummer                 31    95
Kosovare             Asllani                 44    67
Kristie              Mewis                   18    81
Kyah                 Simon                   67    71
Laia                 Codina                  24    87
Lara                 Esponda                 37    81
Lara                 Marti                   65    81
Laura                Coombs                  35    84
Laura                Freigang                36    72
Laura                Giuliani                22    83
Lauren               Hemp                    31    99
Lauren               James                   22    90
Laurie               Batista                 42    68
Laurina              Fazer                   74    81
Le                   Thi                     69    68
Lea                  Le Garrec               32    90
Lee                  Geum-min                31    89
Lee                  Young-ju                22    82
Lena                 Lattwein                32    69
Lena                 Sophie                  54    81
Lene                 Sophie Oberdorf         49    79
Leticia              Izidoro                 53    74
Leticia              Lungu                   59    74
Lia                  W'lti                   18    87
Lily                 Agg                     63    69
Lim                  Seon-joo                60    71
Lina                 Hurtig                  30    92
Linda                Caicedo                 51    78
Linda                Motlhalo                62    70
Linda                Sembrant                45    80
Lindsey              Horan                   67    77
Lineth               Beerenstein             56    84
Lineth               Cedeno                  31    90
Lingwei              Yao                     48    82
Linlin               Wang                    34    89
Linyan               Zhang                   40    82
Lisa                 Boattin                 27    96
Livia                Peng                    64    83
Liya                 Brooks                  51    81
Liz                  Anton                   48    77
Lorena               Bedoya                  29    87
Lorena               Ben'tez                 39    81
Lotte                Wubben-Moy              43    88
Louise               Quinn                   48    81
Luana                B'hler                  39    90
L'cia                Alves                   49    73
Lucia                Di                      37    69
Lucy                 Di Guglielmo            25    71
Luong                Thi                     29    94
Lushomo              Thi Thu Thuong          42    71
Lydia                Williams                35    67
Lynn                 Wilms                   21    99
Madelen              Janogy                  39    68
Ma'lle               Lakrar                  49    72
Magdalena            Eriksson                55    72
Maika                Hamano                  42    72
Maja                 Bay                     35    90
Malea                Bay 'stergaard          39    72
Malia                Steinmetz               38    91
Mamta                Anand                   18    93
Manas                Choudhury               49    67
Manuela              Giugliano               60    69
Manuela              Vanegas                 42    71
Marcela              Restrepo                22    78
Maren                Mjelde                  48    86
Margaret             Belemu                  29    94
Mar'a                Camila                  48    88
Mar'a                Camila Reyes            68    74
Mar'a                Paula Elizondo          55    69
Mar'a                Paula Salas             35    85
Mariana              Benavides               21    91
Mariana              Larroquette             60    81
Mariela              Campos                  46    77
Marina               Hegering                65    71
Marion               Rey                     59    78
Marissa              Sheva                   51    75
Marta                Cox                     27    78
Martha               Tembo                   55    83
Martina              Lenzini                 32    81
Mary                 Earps                   40    87
Mary                 Fowler                  58    77
Mary                 Wilombe                 39    78
Mayra                Ram'rez                 38    79
Megan                Connolly                57    79
Megan                Rapinoe                 47    69
Megan                Walsh                   48    71
Melchie              Dumornay                38    69
Melinda              Kgadiete                36    75
Melissa              Herrera                 21    86
Mengwen              Li                      42    69
Mengyu               Shen                    26    94
Merel                van                     22    68
Meriame              Terchoun                62    78
Merle                van Dongen              25    75
Meryll               Serrano                 43    74
Michaela             Foster                  74    77
Michelle             Alozie                  66    77
Milan                Pierre-Jerome           19    90
Mille                Gejl                    58    75
Millie               Bright                  21    94
Milly                Clegg                   27    83
Mina                 Tanaka                  34    78
Miriam               Mayorga                 36    81
Misa                 Rodr'guez               43    72
Miyabi               Moriya                  40    93
Moeka                Minami                  70    84
Momoko               Tanaka                  44    76
M'nica               Ramos                   52    80
Moon                 Mi-ra                   23    81
Nahomie              Ambroise                21    85
Najat                Badri                   20    91
Naomie               Feller                  20    89
Nerila               Mondesir                45    77
Nesryne              El                      26    75
Ngan                 Thi                     22    91
Nguyen               El Chad                 53    67
Nguyen               Thi Van Su              72    67
Nguyen               Thi Bich Thuy           21    73
Nguyen               Thi My Anh              70    75
Nguyen               Thi Thanh Nha           20    94
Niamh                Thi Thug Hang           51    77
Niamh                Thi Tuyet Dung          22    83
Nichelle             Prince                  40    67
Nicole               Anyomi                  73    76
Nicole               de                      58    67
Nicoline             S'rensen                51    74
Niharika             de Obaldia              31    91
Noelle               Maritz                  74    80
Noko                 Olivia Ganthier         46    75
Noxolo               Cesane                  23    79
Ochumba              Oseke                   41    73
Oihane               Hern'ndez               37    72
Olga                 Oseke Lubanji           67    73
Olivia               Chance                  64    69
Olivia               McDaniel                25    91
Olivia               Smith                   45    70
Oluwatosin           Demehin                 74    84
Osinachi             Ohale                   29    77
Padam                Bhushan                 27    84
Paige                Satchell                18    73
Patr'cia             Morais                  27    75
Paulina              Gramaglia               36    90
Pauline              Peyraud-Magnin          65    68
Pernille             Harder                  39    85
Peyton               McNamara                74    81
Pham                 Hai                     72    76
Priscilla            Chinchilla              68    70
Priscilla            Tapia                   51    74
Qiaozhu              Chen                    41    75
Quinley              Quezada                 39    77
Racheal              Kundananji              38    90
Rachele              Baldi                   25    80
Ramona               Bachmann                32    91
Raquel               Rodr'guez               21    77
Rasheedat            Ajibade                 30    68
Rebeca               Espinosa                62    77
Rebecca              Spencer                 28    90
Rebekah              Stott                   37    89
Refiloe              Jane                    69    78
Reina                Bonta                   55    74
Ria                  Percival                25    91
Rikke                Marie                   37    76
Rikke                Marie Madsen            55    69
Riley                Tanner                  50    67
Rion                 Ishikawa                33    76
Risa                 Shimizu                 36    90
Rkia                 Mazrouai                23    76
Robyn                Moodaly                 29    83
Roc'o                G'lvez                  19    93
Rofiat               Imuran                  74    71
Rosario              Vargas                  71    73
Rose                 Lavelle                 50    78
Roseline             Eloissaint              63    78
Rosella              Ayane                   55    70
Roselord             Borgella                71    82
Ruesha               Littlejohn              64    82
Ruthny               Mathurin                39    81
Ryley                Bugay                   52    67
Ryu                  Ji-soo                  54    71
Saki                 Kumagai                 30    80
Sakina               Karchaoui               62    85
Sakina               Ouzraoui                40    80
Salma                Amani                   48    74
Salma                Paralluelo              25    70
Sam                  Kerr                    39    77
Sandra               Sep'lveda               40    67
Sandrine             Mauron                  21    71
Sanne                Troelsgaard             23    89
Sara                 Daebritz                55    79
Sara                 Eggesvik                18    89
Sara                 Horte                   71    70
Sara                 Thrige                  45    86
Sarah                Kassi                   20    80
Sarina               Bolden                  57    70
Sasha                Fabrega                 66    69
Satchith             Paulose                 71    79
Schiandra            Gonzalez                37    73
Selma                Bacha                   75    78
Seraina              Piubel                  72    69
Shaleena             Nathani                 24    94
Shanoo               Sharma                  31    95
Shelina              Zadorsky                64    82
Sherida              Spitse                  30    97
Sherly               Jeudy                   65    81
Shridhar             Raghavan                72    73
Shuang               Wang                    48    77
Shwendesky           Joseph                  61    79
Sibulele             Holweni                 27    76
Siddharth            Anand                   37    71
Signe                Bruun                   40    88
Silvia               Rebelo                  25    76
Simone               Boye                    61    71
Sinead               Farrelly                21    70
Siomala              Mapepa                  70    74
Sjoeke               Nuesken                 49    69
Sofia                Bouftini                33    94
Sofia                Cantore                 24    89
Sofia                Huerta                  62    67
Sofia                Jakobsson               32    87
Sof'a                Varela                  41    69
Sofie                Svava                   35    93
Solai                Washington              39    91
Solene               Durand                  63    72
Sophia               Kleinherne              49    74
Sophia               Smith                   67    75
Sophie               Roman                   18    80
Sophie               Schmidt                 63    71
Stefanie             van                     27    74
Sunil                Rodrigues               29    82
Susan                Banda                   72    67
Sydney               Lohmann                 22    76
Tabita               Joseph                  66    71
Tahnai               Annis                   51    83
Tameka               Yallop                  72    80
Tatiana              Pinto                   25    72
Teagan               Micah                   22    93
Telma                Encarna''o              34    84
Thai                 Thi                     70    79
Thea                 Bjelde                  37    77
Tiernny              Wiltshire               58    77
Tiffany              Cameron                 65    73
Tiisetso             Makhubela               58    82
Tochukwu             Oluehi                  60    72
Tran                 Thi                     68    71
Tran                 Thi Hai Linh            54    75
Tran                 Thi Kim Thanh           73    70
Tran                 Thi Thu                 35    87
Tran                 Thi Thu Thao            39    70
Trinity              Thi Thuy Nga            47    72
Trudi                Thi Thuy Trang          26    74
Vaibhavi             Merchant                35    90
Valentina            Cernoia                 52    83
Valentina            Giacinti                52    82
Vanesa               Santana                 58    79
Vanessa              Del Campo               41    82
Vanina               Correa                  51    77
Vast                 Phiri                   54    84
Victoria             Esson                   21    89
Viola                Calligaris              73    72
Viviane              Asseyi                  43    88
Wendy                Natis                   50    79
Wendy                Shongwe                 54    71
Wieke                Kaptein                 19    67
Yamila               Rodr'guez               32    83
Yasmin               M'Rabet                 41    71
Yenith               Bailey                  29    92
Yewande              Balogun                 59    69
Yui                  Hasegawa                18    90
Yuyi                 Xiao                    24    96
Zecira               Musovic                 24    93
Zineb                Redouani                57    67
